year,trt,block,dm_Mgha
2003,C2,1,10.01510055
2003,C2,2,9.69716085
2003,C2,3,10.703969899999999
2003,C2,4,10.12108045
2003,C3,1,10.54500005
2003,C3,2,9.8561307
2003,C3,3,10.12108045
2003,C3,4,9.27324125
2003,C4,1,10.068090499999998
2003,C4,2,9.750150799999998
2003,C4,3,9.27324125
2003,C4,4,9.803140749999999
2004,C2,1,10.862939749999999
2004,C2,2,11.4458292
2004,C2,3,9.962110599999999
2004,C2,4,11.07489955
2004,C3,1,11.657789000000001
2004,C3,2,11.07489955
2004,C3,3,9.90912065
2004,C3,4,10.8099498
2004,C4,1,11.81675885
2004,C4,2,12.081708599999999
2004,C4,3,11.604799049999999
2004,C4,4,9.27324125
2005,C2,1,10.703969899999999
2005,C2,2,10.862939749999999
2005,C2,3,10.65097995
2005,C2,4,9.8561307
2005,C3,1,11.922738749999999
2005,C3,2,12.081708599999999
2005,C3,3,12.081708599999999
2005,C3,4,12.187688499999998
2005,C4,1,11.81675885
2005,C4,2,12.6116081
2005,C4,3,10.703969899999999
2005,C4,4,12.66459805
2006,C2,1,10.54500005
2006,C2,2,10.862939749999999
2006,C2,3,11.3398493
2006,C2,4,10.33304025
2006,C3,1,11.07489955
2006,C3,2,11.07489955
2006,C3,3,11.1278895
2006,C3,4,10.65097995
2006,C4,1,11.4458292
2006,C4,2,11.286859349999999
2006,C4,3,11.7637689
2006,C4,4,10.756959850000001
2007,C2,1,9.485201049999999
2007,C2,2,9.37922115
2007,C2,3,9.90912065
2007,C2,4,9.37922115
2007,C3,1,10.59799
2007,C3,2,10.22706035
2007,C3,3,9.3262312
2007,C3,4,9.803140749999999
2007,C4,1,10.59799
2007,C4,2,10.22706035
2007,C4,3,10.22706035
2007,C4,4,10.43902015
2008,C2,1,10.560897035
2008,C2,2,10.497309094999999
2008,C2,3,9.342128185
2008,C2,4,10.635082964999999
2008,C3,1,11.530613119999998
2008,C3,2,11.59420106
2008,C3,3,10.41782417
2008,C3,4,9.225550295
2008,C4,1,11.567706085
2008,C4,2,11.085497539999999
2008,C4,3,10.12108045
2008,C4,4,9.225550295
2009,C2,1,10.847042765
2009,C2,2,10.868238745000001
2009,C2,3,10.624484975
2009,C2,4,9.691861854999999
2009,C3,1,9.93031663
2009,C3,2,10.868238745000001
2009,C3,3,10.995414625
2009,C3,4,10.062791505
2009,C4,1,10.92652769
2009,C4,2,11.429932215000001
2009,C4,3,10.4920101
2009,C4,4,10.995414625
2010,C2,1,9.87732668
2010,C2,2,10.12108045
2010,C2,3,9.119570395
2010,C2,4,10.529103065
2010,C3,1,10.4920101
2010,C3,2,10.529103065
2010,C3,3,9.087776425000001
2010,C3,4,9.776645775
2010,C4,1,10.73576387
2010,C4,2,10.327741255
2010,C4,3,10.942424675
2010,C4,4,9.83493472
2011,C2,1,10.295947284999999
2011,C2,2,10.46021613
2011,C2,3,10.878836735
2011,C2,4,10.825846785
2011,C3,1,11.122590505
2011,C3,2,11.043105579999999
2011,C3,3,11.069600555
2011,C3,4,11.35044729
2011,C4,1,10.560897035
2011,C4,2,10.931826684999999
2011,C4,3,10.53440206
2011,C4,4,11.085497539999999
2012,C2,1,8.324721145
2012,C2,2,9.421613110000001
2012,C2,3,9.501098035
2012,C2,4,11.2338694
2012,C3,1,9.20965331
2012,C3,2,11.387540255
2012,C3,3,8.44659803
2012,C3,4,10.295947284999999
2012,C4,1,8.123359335
2012,C4,2,9.45340708
2012,C4,3,10.041595525
2012,C4,4,9.999203565
2013,C2,1,8.266432199999999
2013,C2,2,7.985585465000001
2013,C2,3,8.123359335
2013,C2,4,6.80390958
2013,C3,1,8.504886975
2013,C3,2,8.78573371
2013,C3,3,7.6994397349999995
2013,C3,4,8.430701045000001
2013,C4,1,8.881115620000001
2013,C4,2,9.543489995
2013,C4,3,8.504886975
2013,C4,4,8.600268885
2014,C2,1,10.2800503
2014,C2,2,11.016610605
2014,C2,3,10.47081412
2014,C2,4,11.05370357
2014,C3,1,11.069600555
2014,C3,2,11.382241259999999
2014,C3,3,10.947723669999998
2014,C3,4,10.953022664999999
2014,C4,1,11.24446739
2014,C4,2,10.756959850000001
2014,C4,3,11.811459854999999
2014,C4,4,11.11729151
2015,C2,1,10.603288995
2015,C2,2,10.820547789999999
2015,C2,3,10.931826684999999
2015,C2,4,11.016610605
2015,C3,1,10.825846785
2015,C3,2,10.370133215
2015,C3,3,10.979517640000001
2015,C3,4,10.44961814
2015,C4,1,10.794052815
2015,C4,2,11.217972415
2015,C4,3,11.504118145
2015,C4,4,11.48822116
2016,C2,1,12.468535235
2016,C2,2,10.59799
2016,C2,3,10.79935181
2016,C2,4,10.36483422
2016,C3,1,12.457937245
2016,C3,2,12.44204026
2016,C3,3,11.557108095
2016,C3,4,11.83795483
2016,C4,1,12.659299055
2016,C4,2,12.627505085
2016,C4,3,10.820547789999999
2016,C4,4,12.67519604
2017,C2,1,9.49579904
2017,C2,2,9.840233715
2017,C2,3,10.327741255
2017,C2,4,10.502608089999999
2017,C3,1,11.737273924999998
2017,C3,2,10.39662819
2017,C3,3,11.366344275
2017,C3,4,11.83795483
2017,C4,1,9.257344265
2017,C4,2,11.39283925
2017,C4,3,10.073389494999999
2017,C4,4,12.41024629
