study_no,reference,lat,long,climclass,reps,reps_pooled,cropseq_simp,cropseq_div,checkcrop,rotlength_simp,rotlength_div,speciesno_simp,speciesno_div,data_type,sys_tillage,sys_weedmgmt,weedmsmt_unit,sbmst_mtd,peren_divYN,fallow_simpYN,study_age,CSD_simp,CSD_div,CSD2_simp,CSD2_div,PISD_simp,PISD_div,bioLRR,denLRR,sbLRR,maxstudyage,reps_pooledyrs,data_type2,sys_weedmgmt2,sys_weedmgmt3,climclasslat,climclasslat2,speciesno_rat,speciesno_diff,CSD_diff,CSD_rat,mono_YN,wgt
1,"Rey-Caballero et al., 2017",41.630231,1.340414,C,3,3,W,Fp-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,1.4142135623730951,NA,-1.0116009116784799,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
1,"Rey-Caballero et al., 2017",41.630231,1.340414,C,3,3,W,R-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,0,NA,0.24116205681688804,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
1,"Rey-Caballero et al., 2017",41.630231,1.340414,C,3,3,W,Su-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,8.48528137423857,NA,0.0870113769896297,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
1,"Rey-Caballero et al., 2017",41.917577,1.014483,C,3,3,W,Fp-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,1.4142135623730951,NA,-2.6741486494265287,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
1,"Rey-Caballero et al., 2017",41.917577,1.014483,C,3,3,W,R-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,0,NA,-1.9810014688665833,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
1,"Rey-Caballero et al., 2017",41.917577,1.014483,C,3,3,W,Su-W,W,1,2,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,4,0,8.48528137423857,NA,-4.060443010546419,NA,3,3,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1.5
2,"Simic et al., 2016",44.870012,20.328897,C,4,8,M,W-M,M,1,2,1,2,RM,tilled,herbicides,community,NA,N,N,3,0,1,1,4,0,7.0710678118654755,-0.9527590724125802,NA,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,2
2,"Simic et al., 2016",44.870012,20.328897,C,4,4,M,W-M,M,1,2,1,2,RM,tilled,none,community,NA,N,N,3,0,1,1,4,0,7.0710678118654755,0.017605836560476304,NA,NA,3,4,RM-last,herb_N,none,temperate,temperate,2,1,1,4,Y,2
2,"Simic et al., 2016",44.870012,20.328897,C,4,8,M,Sb-W-M,M,1,3,1,3,RM,tilled,herbicides,community,NA,N,N,4,0,4,1,9,0,5,-0.3473306387820129,NA,NA,4,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
2,"Simic et al., 2016",44.870012,20.328897,C,4,4,M,Sb-W-M,M,1,3,1,3,RM,tilled,none,community,NA,N,N,4,0,4,1,9,0,5,0.5576540919885884,NA,NA,4,4,RM-last,herb_N,none,temperate,temperate,3,2,4,9,Y,2
3,"Goplen et al., 2016",44.002881,-92.461605,D,4,4,M,A-A-M,M,1,3,1,2,RM,tilled,herbicides,single species,NA,Y,N,3,0,2,1,6,0,6.928203230275509,NA,-1.2992829841302609,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,2,1,2,6,Y,2
